  
       XFOIL         Version 6.96
  
 Calculated polar for: E168  (12.45%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -1.000  -0.1062   0.01067   0.00285  -0.0018   0.6424   0.5147
  -0.750  -0.0798   0.01066   0.00281  -0.0013   0.6246   0.5291
  -0.500  -0.0532   0.01065   0.00279  -0.0009   0.6077   0.5440
  -0.250  -0.0266   0.01065   0.00277  -0.0004   0.5909   0.5592
   0.000   0.0000   0.01064   0.00277   0.0000   0.5749   0.5749
   0.250   0.0266   0.01065   0.00277   0.0004   0.5591   0.5909
   0.500   0.0532   0.01065   0.00279   0.0009   0.5440   0.6077
   0.750   0.0797   0.01066   0.00281   0.0013   0.5290   0.6245
   1.000   0.1062   0.01067   0.00285   0.0018   0.5146   0.6423
   1.250   0.1326   0.01069   0.00290   0.0023   0.5005   0.6608
   1.500   0.1589   0.01071   0.00295   0.0028   0.4866   0.6804
   1.750   0.1853   0.01073   0.00302   0.0033   0.4729   0.7006
   2.000   0.2115   0.01075   0.00311   0.0038   0.4593   0.7220
   2.250   0.2376   0.01078   0.00320   0.0044   0.4460   0.7451
   2.500   0.2637   0.01080   0.00330   0.0050   0.4330   0.7694
   2.750   0.2900   0.01084   0.00342   0.0056   0.4202   0.7959
   3.000   0.3169   0.01088   0.00355   0.0061   0.4074   0.8249
   3.250   0.3462   0.01096   0.00369   0.0061   0.3944   0.8564
   3.500   0.3801   0.01107   0.00387   0.0051   0.3806   0.8894
   3.750   0.4199   0.01122   0.00405   0.0028   0.3659   0.9201
   4.000   0.4606   0.01140   0.00424   0.0003   0.3507   0.9470
   4.250   0.4978   0.01160   0.00444  -0.0016   0.3359   0.9711
   4.500   0.5353   0.01181   0.00463  -0.0037   0.3206   0.9883
   4.750   0.5718   0.01203   0.00484  -0.0056   0.3051   1.0000
   5.000   0.5949   0.01226   0.00505  -0.0048   0.2919   1.0000
   5.250   0.6181   0.01250   0.00526  -0.0039   0.2782   1.0000
   5.750   0.6647   0.01303   0.00576  -0.0022   0.2499   1.0000
   6.000   0.6880   0.01332   0.00605  -0.0014   0.2356   1.0000
   6.250   0.7112   0.01364   0.00635  -0.0005   0.2208   1.0000
   6.500   0.7344   0.01397   0.00668   0.0003   0.2053   1.0000
   6.750   0.7575   0.01434   0.00703   0.0011   0.1868   1.0000
   7.000   0.7798   0.01479   0.00741   0.0019   0.1655   1.0000
   7.250   0.8018   0.01529   0.00786   0.0028   0.1435   1.0000
   7.750   0.8446   0.01648   0.00892   0.0046   0.1039   1.0000
   8.000   0.8654   0.01715   0.00953   0.0055   0.0873   1.0000
   8.250   0.8859   0.01784   0.01021   0.0065   0.0739   1.0000
   8.500   0.9061   0.01855   0.01092   0.0074   0.0633   1.0000
   8.750   0.9257   0.01931   0.01170   0.0085   0.0541   1.0000
   9.000   0.9441   0.02017   0.01255   0.0096   0.0466   1.0000
   9.250   0.9629   0.02097   0.01340   0.0107   0.0409   1.0000
   9.500   0.9797   0.02191   0.01439   0.0120   0.0367   1.0000
   9.750   0.9968   0.02277   0.01536   0.0133   0.0332   1.0000
  10.000   1.0108   0.02387   0.01648   0.0147   0.0301   1.0000
  10.250   1.0254   0.02483   0.01755   0.0161   0.0279   1.0000
  10.500   1.0388   0.02584   0.01866   0.0176   0.0260   1.0000
  10.750   1.0495   0.02696   0.01984   0.0193   0.0241   1.0000
  11.000   1.0532   0.02837   0.02129   0.0216   0.0229   1.0000
  11.250   1.0588   0.02954   0.02260   0.0238   0.0218   1.0000
  11.500   1.0615   0.03101   0.02419   0.0257   0.0209   1.0000
  11.750   1.0632   0.03273   0.02602   0.0269   0.0201   1.0000
  12.000   1.0645   0.03472   0.02814   0.0275   0.0193   1.0000
  12.250   1.0642   0.03710   0.03061   0.0276   0.0187   1.0000
  12.500   1.0617   0.03994   0.03354   0.0271   0.0182   1.0000
  12.750   1.0566   0.04327   0.03694   0.0263   0.0176   1.0000
  13.000   1.0572   0.04618   0.04001   0.0253   0.0171   1.0000
  13.250   1.0551   0.04950   0.04348   0.0242   0.0165   1.0000
  13.500   1.0511   0.05316   0.04727   0.0228   0.0161   1.0000
  13.750   1.0473   0.05695   0.05118   0.0211   0.0155   1.0000
  14.000   1.0417   0.06104   0.05538   0.0192   0.0151   1.0000
  14.250   1.0359   0.06522   0.05967   0.0173   0.0149   1.0000
  14.500   1.0292   0.06967   0.06423   0.0151   0.0146   1.0000
  14.750   1.0216   0.07433   0.06899   0.0129   0.0144   1.0000
  15.000   1.0130   0.07930   0.07405   0.0103   0.0142   1.0000
  15.250   1.0057   0.08426   0.07911   0.0078   0.0140   1.0000
  15.500   0.9974   0.08952   0.08446   0.0051   0.0138   1.0000
  15.750   0.9892   0.09483   0.08985   0.0024   0.0136   1.0000
  16.000   0.9803   0.10049   0.09562  -0.0005   0.0135   1.0000
  16.250   0.9695   0.10688   0.10217  -0.0040   0.0134   1.0000
  16.500   0.9584   0.11346   0.10889  -0.0077   0.0133   1.0000
  16.750   0.9457   0.12061   0.11618  -0.0116   0.0133   1.0000
  17.000   0.9300   0.12870   0.12442  -0.0163   0.0132   1.0000
  17.250   0.9136   0.13727   0.13314  -0.0212   0.0132   1.0000
  17.500   0.8896   0.14828   0.14431  -0.0275   0.0133   1.0000
  17.750   0.8494   0.16478   0.16098  -0.0365   0.0134   1.0000
