  
       XFOIL         Version 6.96
  
 Calculated polar for: E184  (8.33%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   2.750   0.3620   0.00938   0.00277   0.0040   0.5861   1.0000
   3.000   0.3881   0.00944   0.00284   0.0044   0.5728   1.0000
   3.250   0.4143   0.00950   0.00292   0.0048   0.5585   1.0000
   3.500   0.4404   0.00958   0.00304   0.0052   0.5430   1.0000
   3.750   0.4667   0.00966   0.00316   0.0055   0.5234   1.0000
   4.000   0.4927   0.00977   0.00328   0.0059   0.5002   1.0000
   4.250   0.5187   0.00992   0.00342   0.0063   0.4688   1.0000
   4.500   0.5445   0.01017   0.00358   0.0067   0.4235   1.0000
   4.750   0.5684   0.01104   0.00390   0.0067   0.2979   1.0000
   5.000   0.5921   0.01214   0.00448   0.0065   0.1916   1.0000
   5.250   0.6160   0.01303   0.00506   0.0064   0.1237   1.0000
   5.500   0.6391   0.01404   0.00573   0.0065   0.0617   1.0000
   5.750   0.6617   0.01515   0.00656   0.0068   0.0205   1.0000
   6.000   0.6850   0.01599   0.00743   0.0073   0.0148   1.0000
   6.250   0.7083   0.01673   0.00837   0.0078   0.0132   1.0000
   6.500   0.7310   0.01757   0.00937   0.0085   0.0122   1.0000
   6.750   0.7527   0.01852   0.01045   0.0091   0.0115   1.0000
   7.000   0.7732   0.01962   0.01167   0.0100   0.0109   1.0000
   7.250   0.7928   0.02081   0.01296   0.0109   0.0103   1.0000
   7.500   0.8084   0.02277   0.01503   0.0121   0.0091   1.0000
   7.750   0.8282   0.02391   0.01630   0.0130   0.0088   1.0000
   8.000   0.8472   0.02526   0.01783   0.0141   0.0084   1.0000
   8.250   0.8650   0.02702   0.01985   0.0153   0.0082   1.0000
   8.500   0.8817   0.02899   0.02207   0.0165   0.0079   1.0000
   8.750   0.8967   0.03125   0.02463   0.0178   0.0078   1.0000
   9.000   0.9092   0.03377   0.02747   0.0191   0.0077   1.0000
   9.250   0.9181   0.03656   0.03062   0.0204   0.0077   1.0000
   9.500   0.9223   0.03966   0.03409   0.0219   0.0076   1.0000
   9.750   0.9212   0.04295   0.03773   0.0234   0.0076   1.0000
  10.000   0.9142   0.04614   0.04120   0.0249   0.0077   1.0000
  10.250   0.9008   0.04935   0.04464   0.0262   0.0077   1.0000
  10.500   0.8878   0.05299   0.04848   0.0260   0.0077   1.0000
  10.750   0.8732   0.05734   0.05302   0.0246   0.0078   1.0000
  11.000   0.8586   0.06217   0.05802   0.0222   0.0078   1.0000
  11.250   0.8399   0.06838   0.06439   0.0184   0.0079   1.0000
  11.500   0.8199   0.07581   0.07197   0.0133   0.0079   1.0000
  11.750   0.8011   0.08433   0.08061   0.0072   0.0080   1.0000
