  
       XFOIL         Version 6.96
  
 Calculated polar for: E184  (8.33%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -1.500  -0.1892   0.00808   0.00123   0.0213   0.6137   0.0408
  -1.250  -0.1620   0.00783   0.00111   0.0214   0.6089   0.0790
  -1.000  -0.1349   0.00757   0.00100   0.0215   0.6037   0.1255
  -0.500  -0.0814   0.00698   0.00083   0.0218   0.5934   0.2567
  -0.250  -0.0560   0.00649   0.00076   0.0221   0.5879   0.3834
   0.000  -0.0319   0.00591   0.00069   0.0226   0.5825   0.5401
   0.250  -0.0067   0.00556   0.00065   0.0231   0.5752   0.6367
   0.500   0.0173   0.00520   0.00062   0.0239   0.5671   0.7362
   0.750   0.0400   0.00484   0.00060   0.0252   0.5587   0.8396
   1.000   0.0729   0.00465   0.00068   0.0244   0.5490   0.9271
   1.250   0.1242   0.00476   0.00077   0.0193   0.5360   0.9586
   1.750   0.1894   0.00494   0.00087   0.0174   0.5141   0.9783
   2.000   0.2219   0.00505   0.00093   0.0164   0.4989   0.9840
   2.250   0.2588   0.00514   0.00097   0.0144   0.4826   0.9877
   2.500   0.2935   0.00526   0.00104   0.0128   0.4635   0.9912
   2.750   0.3277   0.00542   0.00111   0.0114   0.4366   0.9942
   3.000   0.3655   0.00560   0.00118   0.0090   0.4021   0.9964
   3.250   0.4015   0.00599   0.00131   0.0069   0.3322   0.9985
   3.500   0.4357   0.00676   0.00160   0.0048   0.2148   0.9998
   3.750   0.4635   0.00724   0.00182   0.0044   0.1515   1.0000
   4.000   0.4899   0.00779   0.00208   0.0042   0.0877   1.0000
   4.250   0.5160   0.00819   0.00232   0.0043   0.0520   1.0000
   4.500   0.5420   0.00860   0.00259   0.0043   0.0235   1.0000
   4.750   0.5680   0.00899   0.00292   0.0045   0.0078   1.0000
   5.000   0.5939   0.00925   0.00319   0.0048   0.0060   1.0000
   5.250   0.6198   0.00954   0.00353   0.0051   0.0052   1.0000
   5.500   0.6455   0.00987   0.00391   0.0054   0.0046   1.0000
   5.750   0.6710   0.01015   0.00423   0.0057   0.0044   1.0000
   6.000   0.6964   0.01050   0.00462   0.0060   0.0042   1.0000
   6.250   0.7216   0.01089   0.00508   0.0064   0.0039   1.0000
   6.500   0.7465   0.01131   0.00556   0.0067   0.0037   1.0000
   6.750   0.7712   0.01179   0.00609   0.0071   0.0035   1.0000
   7.000   0.7955   0.01227   0.00662   0.0075   0.0032   1.0000
   7.250   0.8195   0.01279   0.00719   0.0079   0.0030   1.0000
   7.500   0.8430   0.01340   0.00786   0.0084   0.0028   1.0000
   7.750   0.8658   0.01410   0.00864   0.0090   0.0027   1.0000
   8.000   0.8869   0.01508   0.00974   0.0097   0.0025   1.0000
   8.250   0.9057   0.01646   0.01126   0.0106   0.0024   1.0000
   8.500   0.9213   0.01840   0.01340   0.0119   0.0023   1.0000
   8.750   0.9391   0.01979   0.01493   0.0130   0.0023   1.0000
   9.000   0.9564   0.02120   0.01649   0.0141   0.0023   1.0000
   9.250   0.9730   0.02261   0.01806   0.0153   0.0023   1.0000
   9.500   0.9875   0.02424   0.01988   0.0165   0.0023   1.0000
   9.750   0.9992   0.02618   0.02202   0.0179   0.0023   1.0000
  10.000   1.0086   0.02821   0.02426   0.0195   0.0023   1.0000
  10.250   1.0140   0.03045   0.02673   0.0211   0.0023   1.0000
  10.500   1.0205   0.03213   0.02859   0.0226   0.0023   1.0000
  10.750   1.0252   0.03344   0.03003   0.0243   0.0022   1.0000
  11.000   1.0083   0.03656   0.03335   0.0266   0.0023   1.0000
  11.250   1.0091   0.03847   0.03539   0.0270   0.0022   1.0000
  11.500   0.9973   0.04224   0.03935   0.0266   0.0022   1.0000
  11.750   0.9927   0.04546   0.04271   0.0257   0.0022   1.0000
  12.000   0.9845   0.04945   0.04685   0.0240   0.0022   1.0000
  12.250   0.9589   0.05647   0.05406   0.0203   0.0022   1.0000
  12.500   0.9492   0.06168   0.05940   0.0171   0.0022   1.0000
  12.750   0.9239   0.07035   0.06824   0.0114   0.0022   1.0000
