  
       XFOIL         Version 6.96
  
 Calculated polar for: E168  (12.45%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   3.750   0.4760   0.01491   0.00642  -0.0077   0.4151   1.0000
   4.000   0.4978   0.01512   0.00663  -0.0067   0.4020   1.0000
   4.250   0.5201   0.01536   0.00684  -0.0057   0.3888   1.0000
   4.500   0.5426   0.01561   0.00708  -0.0048   0.3758   1.0000
   4.750   0.5653   0.01588   0.00733  -0.0038   0.3626   1.0000
   5.000   0.5880   0.01616   0.00763  -0.0029   0.3493   1.0000
   5.250   0.6109   0.01646   0.00792  -0.0020   0.3356   1.0000
   5.500   0.6337   0.01677   0.00823  -0.0011   0.3217   1.0000
   5.750   0.6566   0.01710   0.00857  -0.0002   0.3073   1.0000
   6.000   0.6794   0.01744   0.00894   0.0007   0.2923   1.0000
   6.250   0.7022   0.01780   0.00935   0.0016   0.2767   1.0000
   6.500   0.7248   0.01818   0.00977   0.0025   0.2605   1.0000
   6.750   0.7473   0.01858   0.01022   0.0033   0.2436   1.0000
   7.000   0.7694   0.01903   0.01070   0.0042   0.2263   1.0000
   7.250   0.7909   0.01952   0.01122   0.0051   0.2080   1.0000
   7.500   0.8123   0.02007   0.01180   0.0060   0.1883   1.0000
   7.750   0.8327   0.02070   0.01242   0.0070   0.1664   1.0000
   8.000   0.8523   0.02144   0.01313   0.0079   0.1441   1.0000
   8.250   0.8705   0.02233   0.01395   0.0090   0.1230   1.0000
   8.500   0.8882   0.02329   0.01492   0.0101   0.1047   1.0000
   8.750   0.9046   0.02437   0.01599   0.0113   0.0895   1.0000
   9.000   0.9197   0.02555   0.01718   0.0126   0.0778   1.0000
   9.250   0.9329   0.02684   0.01845   0.0141   0.0685   1.0000
   9.500   0.9458   0.02810   0.01980   0.0155   0.0609   1.0000
   9.750   0.9560   0.02955   0.02130   0.0172   0.0558   1.0000
  10.000   0.9661   0.03092   0.02278   0.0188   0.0509   1.0000
  10.250   0.9710   0.03257   0.02443   0.0206   0.0476   1.0000
  10.500   0.9782   0.03400   0.02605   0.0225   0.0442   1.0000
  10.750   0.9809   0.03560   0.02775   0.0245   0.0418   1.0000
  11.000   0.9823   0.03739   0.02961   0.0261   0.0401   1.0000
  11.250   0.9817   0.03953   0.03178   0.0271   0.0385   1.0000
  11.500   0.9831   0.04181   0.03420   0.0278   0.0368   1.0000
  11.750   0.9842   0.04425   0.03683   0.0279   0.0350   1.0000
  12.000   0.9841   0.04693   0.03965   0.0276   0.0334   1.0000
  12.250   0.9834   0.04982   0.04265   0.0271   0.0323   1.0000
  12.500   0.9822   0.05288   0.04580   0.0264   0.0314   1.0000
  12.750   0.9802   0.05612   0.04910   0.0254   0.0305   1.0000
  13.000   0.9785   0.05946   0.05247   0.0246   0.0297   1.0000
  13.250   0.9722   0.06367   0.05691   0.0228   0.0291   1.0000
  13.500   0.9629   0.06849   0.06196   0.0205   0.0284   1.0000
  13.750   0.9523   0.07368   0.06736   0.0178   0.0279   1.0000
  14.000   0.9389   0.07952   0.07343   0.0144   0.0273   1.0000
  14.250   0.9244   0.08580   0.07985   0.0109   0.0272   1.0000
  14.500   0.9066   0.09302   0.08725   0.0066   0.0270   1.0000
  14.750   0.8846   0.10162   0.09604   0.0014   0.0271   1.0000
  15.000   0.8547   0.11268   0.10728  -0.0053   0.0274   1.0000
  15.250   0.8166   0.12677   0.12152  -0.0135   0.0284   1.0000
