  
       XFOIL         Version 6.96
  
 Calculated polar for: E184  (8.33%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   4.250   0.5143   0.00883   0.00252   0.0053   0.1731   1.0000
   4.500   0.5401   0.00940   0.00285   0.0053   0.1169   1.0000
   4.750   0.5654   0.01010   0.00328   0.0052   0.0579   1.0000
   5.000   0.5905   0.01073   0.00371   0.0053   0.0207   1.0000
   5.250   0.6158   0.01123   0.00417   0.0055   0.0092   1.0000
   5.500   0.6413   0.01159   0.00459   0.0059   0.0082   1.0000
   5.750   0.6665   0.01199   0.00507   0.0063   0.0076   1.0000
   6.000   0.6914   0.01246   0.00562   0.0066   0.0070   1.0000
   6.250   0.7159   0.01297   0.00622   0.0070   0.0062   1.0000
   6.500   0.7397   0.01362   0.00695   0.0074   0.0055   1.0000
   6.750   0.7626   0.01445   0.00789   0.0080   0.0051   1.0000
   7.000   0.7829   0.01583   0.00942   0.0088   0.0047   1.0000
   7.250   0.8052   0.01658   0.01025   0.0094   0.0045   1.0000
   7.500   0.8265   0.01749   0.01125   0.0102   0.0043   1.0000
   7.750   0.8469   0.01854   0.01242   0.0111   0.0043   1.0000
   8.000   0.8667   0.01968   0.01373   0.0120   0.0041   1.0000
   8.250   0.8855   0.02102   0.01522   0.0131   0.0040   1.0000
   8.500   0.9034   0.02250   0.01688   0.0142   0.0039   1.0000
   8.750   0.9201   0.02418   0.01876   0.0154   0.0039   1.0000
   9.000   0.9352   0.02606   0.02087   0.0167   0.0039   1.0000
   9.250   0.9481   0.02814   0.02321   0.0180   0.0038   1.0000
   9.500   0.9580   0.03052   0.02586   0.0195   0.0038   1.0000
   9.750   0.9637   0.03317   0.02880   0.0211   0.0038   1.0000
  10.000   0.9651   0.03594   0.03186   0.0228   0.0038   1.0000
  10.250   0.9597   0.03885   0.03502   0.0248   0.0038   1.0000
  10.500   0.9484   0.04148   0.03784   0.0267   0.0039   1.0000
  10.750   0.9358   0.04491   0.04147   0.0271   0.0039   1.0000
  11.000   0.9241   0.04871   0.04546   0.0263   0.0039   1.0000
  11.250   0.9071   0.05374   0.05068   0.0243   0.0039   1.0000
  11.500   0.8890   0.05956   0.05668   0.0212   0.0039   1.0000
  11.750   0.8719   0.06594   0.06321   0.0171   0.0040   1.0000
  12.000   0.8519   0.07390   0.07132   0.0116   0.0040   1.0000
  12.250   0.8346   0.08266   0.08020   0.0054   0.0040   1.0000
  12.500   0.8072   0.09635   0.09401  -0.0029   0.0041   1.0000
  12.750   0.7704   0.11296   0.11063  -0.0100   0.0043   1.0000
